case_id,ctx_DRY_lesion_median,ctx_DRY_background_median,ctx_DRY_lesion_minus_bg,ctx_DRY_inner_minus_outer,ctx_DRY_rim_minus_core,ctx_DRY_lesion_iqr,ctx_DRY_bg_iqr,ctx_DRY_moranI,ctx_DRY_gearyC,ctx_DRY_topo_components_mean,ctx_DRY_topo_components_sd,ctx_DRY_hot_largest_frac_mean,ctx_DRY_hot_largest_frac_q90,ctx_DRY_vascular_contact,ctx_DRY_vascular_component_frac,ctx_DRY_vascular_elongation,ctx_ART_lesion_median,ctx_ART_background_median,ctx_ART_lesion_minus_bg,ctx_ART_inner_minus_outer,ctx_ART_rim_minus_core,ctx_ART_lesion_iqr,ctx_ART_bg_iqr,ctx_ART_moranI,ctx_ART_gearyC,ctx_ART_topo_components_mean,ctx_ART_topo_components_sd,ctx_ART_hot_largest_frac_mean,ctx_ART_hot_largest_frac_q90,ctx_ART_vascular_contact,ctx_ART_vascular_component_frac,ctx_ART_vascular_elongation,ctx_VEN_lesion_median,ctx_VEN_background_median,ctx_VEN_lesion_minus_bg,ctx_VEN_inner_minus_outer,ctx_VEN_rim_minus_core,ctx_VEN_lesion_iqr,ctx_VEN_bg_iqr,ctx_VEN_moranI,ctx_VEN_gearyC,ctx_VEN_topo_components_mean,ctx_VEN_topo_components_sd,ctx_VEN_hot_largest_frac_mean,ctx_VEN_hot_largest_frac_q90,ctx_VEN_vascular_contact,ctx_VEN_vascular_component_frac,ctx_VEN_vascular_elongation,ctx_DEL_lesion_median,ctx_DEL_background_median,ctx_DEL_lesion_minus_bg,ctx_DEL_inner_minus_outer,ctx_DEL_rim_minus_core,ctx_DEL_lesion_iqr,ctx_DEL_bg_iqr,ctx_DEL_moranI,ctx_DEL_gearyC,ctx_DEL_topo_components_mean,ctx_DEL_topo_components_sd,ctx_DEL_hot_largest_frac_mean,ctx_DEL_hot_largest_frac_q90,ctx_DEL_vascular_contact,ctx_DEL_vascular_component_frac,ctx_DEL_vascular_elongation,ctx_rel_ART_minus_DRY,ot_W1_ART_DRY,ot_JSD_ART_DRY,ctx_rel_ART_minus_VEN,ot_W1_ART_VEN,ot_JSD_ART_VEN,ctx_rel_ART_minus_DEL,ot_W1_ART_DEL,ot_JSD_ART_DEL,ctx_rel_VEN_minus_DEL,ot_W1_VEN_DEL,ot_JSD_VEN_DEL,phys_APHE_washout_axis,phys_APHE_delayed_axis
CASE00001,46.867963790893555,52.1699333190918,-5.301969528198242,-2.2679691314697266,-1.9685211181640625,49.515082359313965,51.205156326293945,0.3011732834163785,0.7000715190708713,2179.25,1054.6782388482281,0.4287868307372676,0.005375210792574436,0.089116956600226,0.0003142989479256096,3.079973518513709,79.89948272705078,69.06433486938477,10.835147857666016,3.718372344970703,-4.320240020751953,32.34941482543945,30.04185676574707,0.6650970565333281,0.33735165741288325,961.75,201.02409681428742,0.7162310680801226,0.22639123102842917,0.139739962679787,0.007102053419792722,1.76486465295593,95.0,116.0,-21.0,-15.0,6.0,32.0,35.0,0.5588257561238521,0.43127487994416974,1400.5,672.0165548556078,0.5516329927064472,0.12131279573127825,0.10076446156621298,0.012075696420299736,2.5623292528111343,71.1942367553711,80.55913925170898,-9.36490249633789,-5.459545135498047,7.299076080322266,27.80223560333252,27.847501754760742,0.5188302153857813,0.47761279628118153,1372.75,658.1783098066967,0.5703561870457586,0.012963743676208932,0.10557996749530321,0.0010642052096428536,2.9791458245368276,16.137117385864258,33.07385386335332,0.20690466568082105,31.835147857666016,14.637781159341406,0.06600959800489051,20.200050354003906,8.887856201726791,0.0331657500831891,-11.63509750366211,23.427920373268453,0.182150053649472,31.835147857666016,20.200050354003906
CASE00002,-31.39461326599121,-33.10732650756836,1.7127132415771484,-0.0881195068359375,-6.037029266357422,35.96725821495056,57.17037582397461,0.7576480430755301,0.2113191219270408,157.0,39.17269457160179,0.6511795398919555,0.4426580921710326,0.09877585479098158,0.06276623743748597,1.2805498758838234,10.641546249389648,-23.998371124267578,34.63991737365723,19.243656635284424,-9.230285167694092,43.855783224105835,73.70244407653809,0.7132763106408504,0.22009456440986871,87.25,12.07010770457331,0.6645646127613725,0.3912111468339634,0.18671732095104351,0.0803123202744909,1.4146132383020378,32.15687561035156,8.627456665039062,23.5294189453125,4.7058868408203125,-18.823532104492188,69.01960754394531,120.78431701660156,0.7652320384791937,0.17381778680389037,95.0,22.93468988235943,0.6910179361551523,0.4508611955374786,0.14345011960029305,0.07935703354225396,1.8103817376623124,16.495112419128418,4.511563301086426,11.983549118041992,2.720942497253418,-11.096906185150146,58.74109125137329,87.51410484313965,0.8522325675737236,0.12133560292704085,98.5,32.96589146375386,0.7291525354257312,0.2958199356881477,0.12543970733071236,0.03678828701492033,1.43762414772036,32.92720413208008,46.56589405271702,0.3126819326935337,11.110498428344727,20.479562957734025,0.08617028730742424,22.656368255615234,13.054956734428595,0.0551693519376333,11.545869827270508,23.327254647015323,0.09230345915607949,11.110498428344727,22.656368255615234
CASE00003,43.22661781311035,12.746733665466309,30.479884147644043,13.043720245361328,-10.696733474731445,21.83277702331543,115.36325645446777,0.5464881074426025,0.3749383329126599,593.25,297.6595160581969,0.6260479543925862,0.03319919517095936,0.08657683187780546,0.02225689724492904,1.3731094017544612,88.98677062988281,27.790258407592773,61.19651222229004,23.839462280273438,-22.920429229736328,33.535634994506836,128.37300872802734,0.5503566485377673,0.4317529836405054,624.25,194.4625606640003,0.7270791415151541,0.28712273641793334,0.11861662136364662,0.0065956998717230575,2.978510220230604,93.0,33.0,60.0,20.0,-5.0,27.0,150.0,0.4865235664376707,0.43760976524518125,715.5,400.2452373233191,0.589433804082549,0.016836335160499538,0.10467873460175543,0.01512511726752167,1.75936376083248,74.6903190612793,33.86928939819336,40.82102966308594,15.538494110107422,0.9340591430664062,26.761677742004395,137.62924575805664,0.5813945606975839,0.33026442455215566,639.75,361.8047643412121,0.5404678068406926,0.022937625754481012,0.10167138974026853,0.0075242671976405275,2.917014019509263,30.716628074645996,46.58381806822151,0.5599121563315566,1.196512222290039,4.911415965779708,0.024895230248121323,20.3754825592041,16.410174075905456,0.08537212640702442,19.178970336914062,19.46476448389714,0.13223657809402414,1.196512222290039,20.3754825592041
CASE00004,-6.318567991256714,-5.282894134521484,-1.0356738567352295,2.797926902770996,0.8887181282043457,24.303014993667603,45.81247138977051,0.8079638397091131,0.1237270007835728,641.5,219.73449888444918,0.6329631560493687,0.10050614605918758,0.05719877927863388,0.04908083093900051,2.2777896677364473,42.734901428222656,40.97349548339844,1.7614059448242188,6.913249969482422,20.925959587097168,51.43202257156372,59.203956842422485,0.861378906156519,0.09600137814003822,292.5,49.59082576444962,0.7495443338626906,0.2629893606029718,0.0930735652017032,0.04561773754735575,2.3251296171205564,61.960784912109375,85.49020385742188,-23.5294189453125,-1.568634033203125,21.960784912109375,58.03919982910156,94.11764526367188,0.830825510171392,0.1276056068446937,575.75,90.10375963299201,0.7904774225346848,0.4417189952899904,0.09039518922467578,0.06998398128607211,1.6372275955759827,63.24412536621094,77.27496337890625,-14.030838012695312,-2.5021514892578125,20.087158203125,48.362688064575195,67.76352119445801,0.8689075983018894,0.0929278854360673,370.25,70.80386641985027,0.7667555659215178,0.3551286024167388,0.09326671731543115,0.05815810216379622,1.5454417997791827,2.7970798015594482,52.99848542119789,0.4419951715726182,25.29082489013672,18.165229252699195,0.04317111105898169,15.792243957519531,17.72676816298764,0.04681668398478648,-9.498580932617188,5.369761316629146,0.009535971518515532,25.29082489013672,15.792243957519531
CASE00005,-15.594310283660889,-31.78212833404541,16.18781805038452,9.749691009521484,1.4685754776000977,19.014859676361084,60.09632849693298,0.8162928742070307,0.1057199205291869,115.5,42.098099719583544,0.9178700615657442,0.9493844049182669,0.130306497260113,0.07953877585289343,1.385007610883826,28.569517135620117,-1.5759956240653992,30.145512759685516,28.89968991279602,9.138818740844727,29.52416729927063,66.25213098526001,0.7466419314823843,0.1965644896764447,72.25,21.405314760591587,0.8278005413387156,0.5971272229781319,0.06623712892149922,0.049126342205176726,1.7649721741842879,65.09805297851562,38.43138122558594,26.666671752929688,17.254913330078125,1.568634033203125,28.23529052734375,84.70588684082031,0.8154251518408361,0.1185143465233963,111.0,35.397740040855716,0.8809035780597496,0.8260572987665344,0.062022038899222,0.08002388215647664,1.187327838190067,35.10738945007324,12.59891653060913,22.50847291946411,21.040891647338867,-5.188240051269531,22.688858032226562,73.95747470855713,0.7405956022930763,0.1547206892651865,110.5,37.75248336202534,0.8184799070165755,0.541723666206965,0.09321370506407345,0.041187390967689946,2.11235352611827,13.957694709300995,44.18959933302293,0.5405370257029093,3.478841006755829,35.17341719138059,0.3759149688261167,7.637039840221405,6.388796232197237,0.03960970704409815,4.158198833465576,32.05341912419945,0.34821456506559995,3.478841006755829,7.637039840221405
CASE00006,-41.2249870300293,-67.13324737548828,25.908260345458984,8.576366424560547,12.306171417236328,23.21411943435669,160.81384325027466,0.6861460488100897,0.22596139900237924,1963.5,416.2646393822084,0.773940033112646,0.49048539737433067,0.0993662144544282,0.0684310937925836,2.0709592667120944,-37.95811462402344,-57.792118072509766,19.834003448486328,1.1980438232421875,14.568754196166992,25.930806159973145,179.85904893279076,0.6889765444347844,0.2324688992780398,1993.5,311.52006355931553,0.7969908607840772,0.6404294291235166,0.0677156613442362,0.04091133422217538,1.3614579346006959,-32.1568603515625,-35.29411315917969,3.1372528076171875,-7.8431396484375,23.529403686523438,31.372543334960938,208.62747192382812,0.7206322881638993,0.20111287747435627,1808.25,365.62096151615816,0.8538499124347557,0.7135714629100939,0.08024938364031957,0.06202749520589332,1.6834954662220214,-32.802391052246094,-40.9832706451416,8.180879592895508,-18.255644287914038,23.07780647277832,30.643192529678345,200.8726043701172,0.7374025163266512,0.17145895089899205,1578.5,292.67259864907066,0.8705064412981338,0.7731250635998915,0.11650811271312923,0.08135860397622022,1.9029216342388127,-6.074256896972656,4.940169897910962,0.01220291236088698,16.69675064086914,7.779739647203659,0.02564629727164414,11.65312385559082,7.542153504527637,0.019824794661793963,-5.04362678527832,1.1201056355133383,0.007862434860665339,16.69675064086914,11.65312385559082
CASE00007,,,,,,,,,,,,,,,,,16.076404571533203,-14.681182861328125,30.757587432861328,15.004983067512512,-17.698609352111816,33.73237383365631,50.19426250457764,0.7144987813246346,0.26739599304202116,541.75,83.0161881803784,0.8005408956458601,0.6407227241124839,0.12659470068691694,0.012829674031546917,3.269763448397302,36.862762451171875,0.784332275390625,36.07843017578125,15.686264038085938,-20.392166137695312,37.64704895019531,69.01962280273438,0.7410743785568633,0.23082554618950735,524.25,88.09476431661533,0.7918914558411342,0.6058718861196489,0.10461236506376237,0.052249684566414496,1.865713539357353,41.29233932495117,2.3093559741973877,38.982983350753784,16.435222625732422,-12.388139724731445,33.757948875427246,75.45474243164062,0.6929267186334961,0.2731818416281145,561.0,103.46738616588321,0.7326105354945098,0.40189946722167735,0.10363101079487154,0.04092265854365474,1.9470928298246257,,,,-5.320842742919922,19.762868267019993,0.09609001021908462,-8.225395917892456,22.953829887709592,0.13973066685487642,-2.904553174972534,4.690260001620981,0.012640831327444329,-5.320842742919922,-8.225395917892456
CASE00008,34.798072814941406,40.97400665283203,-6.175933837890625,-3.631153106689453,3.0246543884277344,23.479086875915527,21.149230003356934,0.5941446233154026,0.4080476158356754,34.0,4.123105625617661,0.6184071729807938,0.1582278480912514,0.07401091405158933,0.005882126792508599,1.5410726187282033,64.25755310058594,65.72809600830078,-1.4705429077148438,-1.2003517150878906,4.178592681884766,22.813844680786133,28.006765365600586,0.49271251183457315,0.4347445379340699,44.25,10.304731922762475,0.4848364978775068,0.28481012656425253,0.09754433833527441,0.04240513628847702,1.3390994149146185,94.0,93.0,1.0,0.0,2.0,25.0,28.0,0.47686670834009576,0.5083525648809443,47.25,7.8222439235810075,0.4793064628379688,0.12426035502223311,0.07912687585239044,0.05878282265193234,1.3128399849651657,74.42841339111328,81.67427825927734,-7.2458648681640625,-6.718376159667969,8.846988677978516,20.60760498046875,23.508834838867188,0.586007973423489,0.40750716467281173,44.75,9.364160400164021,0.47679324893355324,0.13291139239665117,0.0869713506136188,0.00511322132943558,1.2867629495316648,4.705390930175781,30.204069087065946,0.39543895105311677,-2.4705429077148438,28.584131834550774,0.37210422224253153,5.775321960449219,10.074434097391508,0.08273203683845595,8.245864868164062,19.123848387831146,0.21802070472064092,-2.4705429077148438,5.775321960449219
CASE00009,-7.621511220932007,-67.09387969970703,59.472368478775024,17.54470729827881,-6.480096340179443,55.22244453430176,204.5247483253479,0.7142148765069553,0.2327338816766395,1545.5,695.6121404920992,0.575051566204885,0.13643975962945873,0.10246592127430033,0.06757130519696582,2.1631052281575034,21.133225440979004,-12.75901985168457,33.892245292663574,10.031219482421875,5.438121795654297,51.225950956344604,231.52329635620117,0.48816313052354965,0.4861057995168072,1707.5,754.6209313291012,0.5568434563672515,0.027879026696849687,0.09242679513776404,0.03506415068779147,1.0570506783808118,65.09805297851562,50.98040771484375,14.117645263671875,-3.13726806640625,23.529403686523438,69.01960754394531,301.1764678955078,0.5073390364442397,0.4797763002141973,1913.25,555.1573538196175,0.5854209898243486,0.06026438569200985,0.07784848020717668,0.0420069879939704,1.1196804885302998,67.4886474609375,36.88478469848633,30.603862762451172,5.201118469238281,15.586105346679688,59.578556060791016,295.85064697265625,0.6597667343591939,0.2778804033798428,1289.5,479.1354192710032,0.5816101832178451,0.053787804157172894,0.06915997159525068,0.044628896879108704,1.3945615178256736,-25.58012318611145,35.64473601276382,0.09319936940998817,19.7746000289917,44.86324462301079,0.17778622093189128,3.2883825302124023,45.38906702879398,0.20063644992757787,-16.486217498779297,6.674395962069902,0.009296619579712092,19.7746000289917,3.2883825302124023
CASE00010,-9.450984001159668,-5.157358646392822,-4.293625354766846,0.7537040710449219,-4.760825157165527,18.55725371837616,29.438664197921753,0.9258974761533187,0.06021933448242871,196.0,32.977264895682296,0.7257896546583,0.5959735669270079,0.06024593076976896,0.07651522851238053,1.686005075772531,15.524118423461914,25.953880310058594,-10.42976188659668,-2.0263099670410156,1.7306041717529297,30.25174941122532,51.569559414405376,0.7979149543849524,0.15093148797248654,454.25,78.69363061900245,0.6341622244027925,0.2824650376513256,0.04237685691946231,0.06636571015572759,1.5858578506833023,47.8431396484375,88.62747192382812,-40.784332275390625,-10.980392456054688,0.0,43.92158508300781,78.43136596679688,0.8164124000377996,0.13660125212950916,395.5,68.31727453580098,0.6108889338024792,0.2649985783334305,0.07039590589237751,0.05552732323745481,1.553991674591836,,,,,,,,,,,,,,,,,-6.136136531829834,27.81606617875587,0.3318371086622492,30.354570388793945,28.423451515678625,0.21593127787760363,,,,,,,30.354570388793945,
